Roster Grade,Official Grade,Grading Basis,Program and Plan,Level,Session,StudentID,IsSenior,IsJunior,IsSophomore,IsBusinessAdmin,NumericalGrade
A,A,GRD,Business Administration - Accounting/Business (Minor),Junior,Spring 2022,1701.0,0,1,0,1,4.0
C-,C-,GRD,Business Administration - Business Administration,Junior,Spring 2022,2029.0,0,1,0,1,1.7
A-,A-,GRD,Intended - Business Admin (intended),Junior,Spring 2022,1434.0,0,1,0,0,3.7
B+,B+,GRD,Business Administration - Accounting/Business (Minor),Senior,Spring 2022,1441.0,1,0,0,1,3.3
A,A,GRD,Business Administration - Digital Forensics/Business (Minor)/Chinese Studies (Minor),Junior,Spring 2022,1556.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Criminal Justice (Minor),Junior,Spring 2022,1440.0,0,1,0,1,4.0
A-,A-,GRD,Intended - Accounting (intended),Junior,Spring 2022,1607.0,0,1,0,0,3.7
A-,A-,GRD,Business Administration - Business Administration,Junior,Spring 2022,1707.0,0,1,0,1,3.7
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,Spring 2022,1153.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration/Sustainability (Minor),Junior,Spring 2022,2013.0,0,1,0,1,4.0
B,B,GRD,"Business Administration - Business Administration/EmergPrep,HomelandSec&Cybsec/Psychology (Minor)",Senior,Spring 2022,1130.0,1,0,0,1,3.0
A,A,GRD,Business Administration - Business Administration/Political Science (Minor),Senior,Spring 2022,1142.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,Spring 2022,1300.0,0,1,0,1,4.0
B,B,GRD,Business Administration - Business Administration,Junior,Spring 2022,1024.0,0,1,0,1,3.0
A,A,GRD,Business Administration - Accounting/Business (Minor)/Computer Science (Minor),Junior,Spring 2022,1186.0,0,1,0,1,4.0
A,A,GRD,Intended - Business Admin (intended),Sophomore,Spring 2022,1469.0,0,0,1,0,4.0
D-,D-,GRD,College of Arts and Sciences - Business Economics,Senior,Spring 2022,1708.0,1,0,0,0,0.7
A,A,GRD,Business Administration - Business Administration,Senior,Spring 2022,1632.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Accounting/Business (Minor),Senior,Spring 2022,1980.0,1,0,0,1,4.0
A,A,GRD,Business Administration - Business Administration,Junior,Spring 2022,1012.0,0,1,0,1,4.0
A,A,GRD,Business Administration - Accounting/Biology (Minor)/Business (Minor),Senior,Spring 2022,1010.0,1,0,0,1,4.0
C,C,GRD,College of Arts and Sciences - Business Economics/Actuarial & Mathematical Sci,Junior,Spring 2022,1495.0,0,1,0,0,2.0
A,A,GRD,Business Administration - Business Administration,Senior,Spring 2022,1601.0,1,0,0,1,4.0
